engineload,coolant,vehiclespeed,rpm,obddistance,runtime,engine_torque_percent,fuel_consumption,fuel_level,fl_level,fuel_rate,fuel_economy,accelerator_pedal_pos,drivers_demand_engine_torque_percent,engine_torque_mode,adblue_level,part_of_day,date,time
26,2.68103E+11,0,749.5,60780976,1971,19,17936.5,22.4,81.76,4.9,0,0,0,0.693147181,52.252,Late Night,02-03-2024,02:24:32
35,4.71045E+11,2.484375,742.125,60781032,1971,24,17936.5,18.4,67.16,5.95,0.357455889,9.6,10,0.693147181,52.252,Late Night,02-03-2024,02:25:35
24,5.24461E+11,1.859375,752.375,60781592,1971.05,17,17937,23.2,84.68,4.4,0,0,0,0.693147181,52.252,Late Night,02-03-2024,04:05:07
26,7.93236E+11,8.78125,749.5,60781712,1971.1,18,17937,26,94.9,3.55,1.216973853,0,0,0.693147181,52.252,Late Night,02-03-2024,04:06:10
37,7.93236E+11,32.515625,817,60781824,1971.1,23,17937,22.8,83.22,6.05,1.841293404,16,7,0.693147181,52.26,Late Night,02-03-2024,04:13:48
32,1.28796E+12,38.15625,1002.5,60782528,1971.1,25,17937,24,87.6,7.95,1.76068258,33.6,25,2.302585093,52.26,Late Night,02-03-2024,04:14:52
68,1.85482E+12,13.890625,682.375,60783036,1971.15,33,17937,19.6,71.54,8.85,0.921744593,42,36,0.693147181,52.252,Late Night,02-03-2024,04:15:57
39,2.85266E+12,17.90625,1136.75,60783404,1971.15,30,17937.5,21.2,77.38,8.95,1.073561522,52.4,41,2.302585093,52.304,Late Night,02-03-2024,04:17:01
37,3.9525E+12,36.75,926.75,60783796,1971.2,28,17937.5,23.2,84.68,8.5,1.67043009,43.6,36,2.302585093,52.32,Late Night,02-03-2024,04:18:05
35,3.36429E+12,44.015625,1153.125,60784404,1971.2,27,17937.5,27.6,100.74,9.9,1.719552724,39.2,28,1.098612289,52.32,Late Night,02-03-2024,04:19:09
21,3.36429E+12,48.515625,762.25,60785976,1971.25,14,17938,23.2,84.68,3.75,2.633180739,0,0,0.693147181,52.32,Late Night,02-03-2024,04:21:19
20,3.36429E+12,1.859375,750.75,60786644,1971.25,13,17938,24,87.6,3.4,0.026976588,0,0,0.693147181,52.304,Late Night,02-03-2024,04:22:23
55,3.36429E+12,41.84375,1064.875,60787176,1971.25,45,17938.5,22,80.3,15.4,1.31338759,53.2,45,1.098612289,52.32,Late Night,02-03-2024,04:23:27
38,3.09945E+12,44.75,1124.25,60788116,1971.3,28,17938.5,22.8,83.22,9.5,1.734830817,40.4,29,1.098612289,52.32,Late Night,02-03-2024,04:24:32
10,2.62288E+12,44.59375,749.625,60788976,1971.3,7,17938.5,22.8,83.22,1.35,3.501937881,0,0,0.693147181,52.26,Late Night,02-03-2024,04:25:37
22,3.09945E+12,45.71875,1182.75,60789848,1971.3,20,17938.5,20,73,6.75,2.04668427,28.4,20,2.302585093,52.32,Late Night,02-03-2024,04:26:42
0,3.36429E+12,38.78125,1014.75,60790364,1971.35,0,17939,24,87.6,0,4.840242308,0,0,1.098612289,52.32,Late Night,02-03-2024,04:27:46
21,3.64826E+12,46.703125,771,60791240,1971.35,14,17939,21.6,78.84,3.7,2.610615379,0,0,0.693147181,52.32,Late Night,02-03-2024,04:28:51
9,3.64826E+12,52.0625,852.25,60792084,1971.4,5,17939,21.2,77.38,1.9,3.341024322,0,0,0.693147181,52.32,Late Night,02-03-2024,04:29:56
42,3.64826E+12,40.546875,1026,60792912,1971.4,32,17939.5,21.6,78.84,10,1.615280213,42.8,32,1.098612289,52.32,Late Night,02-03-2024,04:31:01
32,3.09945E+12,38.765625,972.5,60793660,1971.4,24,17939.5,22.4,81.76,7.4,1.830391548,34,25,1.098612289,52.32,Late Night,02-03-2024,04:32:06
30,3.09945E+12,45.625,1051,60794356,1971.45,22,17939.5,22,80.3,6.5,2.000212305,33.6,23,1.098612289,52.32,Late Night,02-03-2024,04:33:11
57,3.36429E+12,37.71875,955,60795140,1971.45,41,17939.5,22,80.3,13.1,1.351516874,52.8,41,1.098612289,52.32,Late Night,02-03-2024,04:34:15
21,3.36429E+12,36.46875,920.875,60795768,1971.45,18,17940,22.8,83.22,4.6,2.185656187,22.4,18,1.098612289,52.32,Late Night,02-03-2024,04:35:20
55,3.09945E+12,32.015625,804.5,60796516,1971.5,36,17940,22,80.3,8.7,1.538629773,84.4,64,2.302585093,52.32,Late Night,02-03-2024,04:36:24
64,3.64826E+12,41.9375,1055.75,60797208,1971.5,44,17940,20.8,75.92,14.9,1.329021064,60.4,44,1.098612289,52.32,Late Night,02-03-2024,04:37:29
